NO,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
1.0,67.0,male,2.0,own,little,little,1169.0,6.0,radio/TV
2.0,22.0,female,2.0,own,little,moderate,5951.0,48.0,radio/TV
3.0,49.0,male,1.0,own,little,little,2096.0,12.0,education
4.0,45.0,male,2.0,free,little,little,7882.0,42.0,furniture/equipment
5.0,53.0,male,2.0,free,little,little,4870.0,24.0,car
6.0,35.0,male,1.0,free,little,little,9055.0,36.0,education
7.0,53.0,male,2.0,own,quite rich,little,2835.0,24.0,furniture/equipment
8.0,35.0,male,3.0,rent,little,moderate,6948.0,36.0,car
9.0,61.0,male,1.0,own,rich,little,3059.0,12.0,radio/TV
10.0,28.0,male,3.0,own,little,moderate,5234.0,30.0,car
11.0,25.0,female,2.0,rent,little,moderate,1295.0,12.0,car
12.0,24.0,female,2.0,rent,little,little,4308.0,48.0,business
13.0,22.0,female,2.0,own,little,moderate,1567.0,12.0,radio/TV
14.0,60.0,male,1.0,own,little,little,1199.0,24.0,car
15.0,28.0,female,2.0,rent,little,little,1403.0,15.0,car
16.0,32.0,female,1.0,own,moderate,little,1282.0,24.0,radio/TV
17.0,53.0,male,2.0,own,little,little,2424.0,24.0,radio/TV
18.0,25.0,male,2.0,own,little,little,8072.0,30.0,business
19.0,44.0,female,3.0,free,little,moderate,12579.0,24.0,car
20.0,31.0,male,2.0,own,quite rich,little,3430.0,24.0,radio/TV
21.0,48.0,male,2.0,own,little,little,2134.0,9.0,car
22.0,44.0,male,2.0,rent,quite rich,little,2647.0,6.0,radio/TV
23.0,48.0,male,1.0,rent,little,little,2241.0,10.0,car
24.0,44.0,male,2.0,own,moderate,moderate,1804.0,12.0,car
25.0,26.0,male,2.0,own,little,little,2069.0,10.0,furniture/equipment
26.0,36.0,male,1.0,own,little,little,1374.0,6.0,furniture/equipment
27.0,39.0,male,1.0,own,little,little,426.0,6.0,radio/TV
28.0,42.0,female,2.0,rent,rich,rich,409.0,12.0,radio/TV
29.0,34.0,male,2.0,own,little,moderate,2415.0,7.0,radio/TV
30.0,63.0,male,2.0,own,little,little,6836.0,60.0,business
31.0,36.0,male,2.0,own,rich,moderate,1913.0,18.0,business
32.0,27.0,male,2.0,own,little,little,4020.0,24.0,furniture/equipment
33.0,30.0,male,2.0,own,moderate,moderate,5866.0,18.0,car
34.0,57.0,male,1.0,rent,little,little,1264.0,12.0,business
35.0,33.0,female,3.0,own,little,rich,1474.0,12.0,furniture/equipment
36.0,25.0,male,1.0,own,little,moderate,4746.0,45.0,radio/TV
37.0,31.0,male,2.0,free,little,little,6110.0,48.0,education
38.0,37.0,male,2.0,own,little,rich,2100.0,18.0,radio/TV
39.0,37.0,male,2.0,own,little,rich,1225.0,10.0,domestic appliances
40.0,24.0,male,2.0,own,little,moderate,458.0,9.0,radio/TV
41.0,30.0,male,3.0,own,quite rich,little,2333.0,30.0,radio/TV
42.0,26.0,male,2.0,own,quite rich,moderate,1158.0,12.0,radio/TV
43.0,44.0,male,1.0,own,little,moderate,6204.0,18.0,repairs
44.0,24.0,male,2.0,rent,moderate,little,6187.0,30.0,car
45.0,58.0,female,1.0,free,little,little,6143.0,48.0,car
46.0,35.0,female,3.0,own,little,little,1393.0,11.0,car
47.0,39.0,male,2.0,own,quite rich,little,2299.0,36.0,radio/TV
48.0,23.0,female,0.0,rent,quite rich,little,1352.0,6.0,car
49.0,39.0,male,1.0,own,little,little,7228.0,11.0,car
50.0,28.0,female,2.0,own,moderate,little,2073.0,12.0,radio/TV
51.0,29.0,male,1.0,own,little,moderate,2333.0,24.0,furniture/equipment
52.0,30.0,male,3.0,own,little,moderate,5965.0,27.0,car
53.0,25.0,male,2.0,own,little,little,1262.0,12.0,radio/TV
54.0,31.0,male,2.0,own,little,little,3378.0,18.0,car
55.0,57.0,male,2.0,free,little,moderate,2225.0,36.0,car
56.0,26.0,male,1.0,own,little,little,783.0,6.0,car
57.0,52.0,male,3.0,own,little,moderate,6468.0,12.0,radio/TV
58.0,31.0,female,2.0,own,little,little,9566.0,36.0,radio/TV
59.0,23.0,female,3.0,own,little,rich,1961.0,18.0,car
60.0,23.0,female,1.0,rent,little,little,6229.0,36.0,furniture/equipment
61.0,27.0,male,2.0,own,little,moderate,1391.0,9.0,business
62.0,50.0,male,2.0,own,little,moderate,1537.0,15.0,radio/TV
63.0,61.0,male,3.0,free,little,moderate,1953.0,36.0,business
64.0,25.0,male,2.0,own,little,moderate,14421.0,48.0,business
65.0,26.0,female,2.0,own,little,little,3181.0,24.0,radio/TV
66.0,48.0,male,2.0,own,little,little,5190.0,27.0,repairs
67.0,29.0,female,2.0,own,little,little,2171.0,12.0,radio/TV
68.0,22.0,male,2.0,own,rich,moderate,1007.0,12.0,car
69.0,37.0,male,2.0,free,little,little,1819.0,36.0,education
70.0,25.0,female,2.0,own,little,little,2394.0,36.0,radio/TV
71.0,30.0,female,2.0,own,little,little,8133.0,36.0,car
72.0,46.0,male,1.0,rent,little,little,730.0,7.0,radio/TV
73.0,51.0,male,3.0,free,little,little,1164.0,8.0,vacation/others
74.0,41.0,female,1.0,own,little,moderate,5954.0,42.0,business
75.0,40.0,male,3.0,own,little,little,1977.0,36.0,education
76.0,66.0,male,3.0,free,little,little,1526.0,12.0,car
77.0,34.0,male,2.0,own,little,little,3965.0,42.0,radio/TV
78.0,51.0,male,2.0,own,little,moderate,4771.0,11.0,radio/TV
79.0,39.0,male,1.0,own,little,little,9436.0,54.0,car
80.0,22.0,male,2.0,own,little,moderate,3832.0,30.0,furniture/equipment
81.0,44.0,female,2.0,own,little,little,5943.0,24.0,radio/TV
82.0,47.0,male,2.0,own,quite rich,little,1213.0,15.0,radio/TV
83.0,24.0,female,1.0,rent,moderate,little,1568.0,18.0,business
84.0,58.0,female,1.0,own,little,little,1755.0,24.0,vacation/others
85.0,52.0,male,1.0,own,little,little,2315.0,10.0,radio/TV
86.0,29.0,female,3.0,own,little,little,1412.0,12.0,business
87.0,27.0,female,2.0,own,little,moderate,1295.0,18.0,furniture/equipment
88.0,47.0,male,2.0,free,moderate,moderate,12612.0,36.0,education
89.0,30.0,male,3.0,own,moderate,little,2249.0,18.0,car
90.0,28.0,male,2.0,own,little,little,1108.0,12.0,repairs
91.0,56.0,male,2.0,own,little,little,618.0,12.0,radio/TV
92.0,54.0,male,2.0,own,little,little,1409.0,12.0,car
93.0,33.0,female,1.0,own,little,little,797.0,12.0,radio/TV
